,Pearson_Correlation,Zscore_Sensitivity,Combined_Score
volume_vpt,0.9410933732836909,4.769556506332907,4.488598021612011
trend_aroon_ind,0.7801369907381485,2.301784889385625,1.7957075369318436
trend_mass_index,0.6656041050294899,2.4646171621306525,1.640459300440294
trend_cci,0.7898807200650774,1.4590975922663774,1.1525130568245867
momentum_rsi,0.7893806482065435,1.18397638988838,0.9346080501113326
trend_adx_pos,0.7600986803117549,1.1440423394833408,0.86958507246206
others_cr,0.9999999999999999,0.8545813479583839,0.8545813479583838
volatility_kcc,0.7958519882279713,0.8816320572065509,0.7016486256133501
trend_psar_up,0.36394109491984905,1.7437527142211249,0.6346232720830949
trend_kst_diff,0.45423575598818433,1.298012011087267,0.5896034671379683
volatility_kch,0.7961932538285542,0.6838460384772175,0.5444736024929425
volume_adi,0.8637296119847276,0.6164368119799534,0.5324347284245476
volatility_kcl,0.7936458438101497,0.6132781691317449,0.4867256700309074
volatility_bbp,0.7796490937762964,0.6227976844583003,0.48556365029388965
volatility_dcp,0.707960270016896,0.6229624028123854,0.44103263090543066
volume_mfi,0.5669385632458719,0.6884218445705761,0.39029289146791535
volume_cmf,0.44776451141483803,0.8541900078831439,0.3824759715352326
trend_sma_fast,0.7708779741828956,0.4243911222890499,0.3271537686113883
trend_ema_fast,0.8667476796447475,0.37429712802361537,0.32442116721216163
volume_fi,0.3524449776972335,0.7799062858966227,0.27487405353876737
trend_macd_diff,0.5267673972065834,0.440744900632328,0.23217004413816567
momentum_ppo_hist,0.5196071020723434,0.4450212648680306,0.23123620979864615
trend_adx,0.8083707155358895,0.27396846929800106,0.22146808756069747
volatility_bbl,0.7075034755576423,0.26929725479691713,0.1905287437269508
momentum_uo,0.4886106533995701,0.3792752856005027,0.1853179451155702
momentum_tsi,0.11451106830663274,1.6118973119584175,0.18458008319294805
momentum_stoch_rsi,0.29358577674783914,0.5440133394648021,0.15971457882795984
volume_sma_em,0.7595633490308917,0.1969262583867179,0.1495779683323382
momentum_stoch,0.6026967661325499,0.23744360680273877,0.14310649395885938
momentum_wr,0.6026967661325496,0.2374436068027386,0.14310649395885922
trend_vortex_ind_pos,0.7992919480303662,0.1263064790352524,0.10095575167694351
volatility_dcm,0.7215947825206345,0.13144542607070214,0.09485033363882045
momentum_kama,0.9072791470795379,0.02955940734931747,0.02681863388806538
volatility_atr,0.09209492286900414,0.13915939524294152,0.012815873771395961
trend_stc,0.5476102172215942,0.012111446107081196,0.006632351633566365
volume_em,0.18140255670316596,-0.00515478637216013,-0.0009350914271684851
others_dr,0.2074483059224677,-0.01651665100025104,-0.00342635126951471
others_dlr,0.21159924637294805,-0.029065383466118793,-0.006150213236971481
momentum_ao,0.818575288099633,-0.022667608117720568,-0.018555143845492693
trend_visual_ichimoku_a,0.4438748209080096,-0.05999882075951116,-0.026631965819319783
volume_obv,0.5395223966548618,-0.05286782334152595,-0.028523374755145922
trend_psar_down_indicator,0.04583984139250047,-0.6598261106277413,-0.03024632425780613
trend_psar_down,0.44194731477002863,-0.06917931856910381,-0.030573614079235808
volume_vwap,0.7812138125662291,-0.05026746758566702,-0.039269640000648275
momentum_pvo_hist,0.04511263589995809,-0.9147020029022788,-0.04126461841389291
trend_psar_up_indicator,0.06577108038653343,-0.672678237439597,-0.04424277442891135
momentum_stoch_signal,0.6510555351002935,-0.07070428940188458,-0.04603241897042998
volume_nvi,0.4532285679862779,-0.1639773007106736,-0.07431919718335386
trend_vortex_ind_diff,0.7292121153252488,-0.12187026933882851,-0.08886927689982495
volatility_kchi,0.24242409815765162,-0.4140043904602206,-0.10036464099062724
momentum_roc,0.4505815977110637,-0.23004412126464538,-0.1036536477034616
trend_visual_ichimoku_b,0.18142811638788836,-0.58717442543693,-0.10652994999816282
trend_ichimoku_b,0.2762869180903586,-0.406563615632349,-0.11232820837073484
volatility_kcp,0.6007486417550526,-0.21610997442073687,-0.12982777360297684
trend_sma_slow,0.6717107431242901,-0.19929692529211002,-0.13386988579034936
trend_ema_slow,0.7436954532409303,-0.20986856810641027,-0.15607829987892186
trend_dpo,0.5039003246540816,-0.3478925429237479,-0.17530316532401058
trend_ichimoku_base,0.6515297643459688,-0.291762332027937,-0.1900918434311921
momentum_pvo_signal,0.7809244598616061,-0.2637609964657216,-0.20597741369755262
momentum_ppo,0.9097126997892,-0.24349081650319165,-0.22150668805499518
trend_adx_neg,0.2089135325415348,-1.4422146606028918,-0.3012981594297408
momentum_ppo_signal,0.8026237403528861,-0.4046697531729074,-0.3247975508993181
volatility_kcw,0.6488184499352833,-0.530399659195601,-0.3441330847254923
trend_aroon_up,0.7687901456203456,-0.44933132024433364,-0.34544149112242345
momentum_stoch_rsi_k,0.3501225102461743,-1.0333556913852713,-0.36180108864498217
momentum_stoch_rsi_d,0.3943851384721372,-1.0144109366510463,-0.4000685977187733
volatility_dcw,0.6090360388535655,-0.65914138678939,-0.401440859254656
trend_macd_signal,0.8086760731272327,-0.5202699541136359,-0.42072986345870056
volatility_ui,0.24463210906386632,-1.9645803067180039,-0.48059942385776266
volatility_bbm,0.7130184782297531,-0.6923751124139713,-0.493676249017564
momentum_pvo,0.6749628345900619,-0.7539968849912749,-0.5089198747657878
trend_kst,0.7985936229255388,-0.6540677823736348,-0.522334359964634
volatility_bbh,0.45229842369646633,-1.197393558155443,-0.5415792188980099
volatility_dcl,0.688310501529983,-0.9393292842689279,-0.6465502107569457
trend_vortex_ind_neg,0.4683146406642582,-1.4291799117198953,-0.6693058768016791
trend_trix,0.7781940500768676,-0.8737422867455923,-0.6799410488459763
trend_aroon_down,0.4686901633991114,-1.5137353078321198,-0.7094728487708405
trend_ichimoku_conv,0.8686415387739732,-0.8854998706367081,-0.7691819702140243
trend_macd,0.9159489130091928,-0.8467499599855225,-0.7755797054393169
trend_kst_sig,0.6423200466529202,-1.3622165498830803,-0.8749789978722801
volatility_bbw,0.6773717841799706,-1.3521633723962923,-0.9159173160628824
volatility_dch,0.7074049776043281,-1.3962458117260312,-0.98771123717419
trend_ichimoku_a,0.8162167871471389,-1.221679817731076,-0.997155575750961
