,Pearson_Correlation,Zscore_Sensitivity,Combined_Score
volume_vpt,0.9716334755993876,1.8717229258940937,1.8186286518455332
trend_adx,0.7951099652048939,2.1800875949222878,1.733409371742281
trend_aroon_ind,0.8231494828824354,1.8524360186749826,1.5248317508451095
volatility_dcl,0.7935961578703553,1.7152094981428674,1.36118366766892
momentum_kama,0.8615295830138135,1.491944967923033,1.2853547260942881
trend_macd,0.9304977228564244,1.0491979645828649,0.9762763168699512
volatility_bbp,0.7274070118102555,1.2850618102220956,0.9347629713651322
others_cr,0.9999999999999999,0.9027301531182522,0.9027301531182521
momentum_rsi,0.8536038876065926,1.0521266682538064,0.8980994142760209
momentum_ppo_signal,0.8311386727557651,1.0770039927368091,0.8951396690759312
trend_macd_signal,0.8362235805877791,1.045872220187798,0.8745830128027305
trend_stc,0.5545836114587032,1.50279637906231,0.8334262431874381
volatility_dcm,0.7406582420179777,1.0723732729689228,0.7942621031442273
volume_obv,0.8633319217448526,0.8770033816603827,0.7571450148655926
trend_adx_pos,0.600655349682972,1.201940462915606,0.7219519690506866
volume_fi,0.6047160595481169,1.0579016069531315,0.6397300911463184
trend_cci,0.7351339716722659,0.7482868267949391,0.5500910669318004
trend_sma_fast,0.7269767454019547,0.6521488871854081,0.47409707552355446
momentum_roc,0.5836238843102173,0.7947599477457721,0.4638408877975728
momentum_ppo_hist,0.5532568338555356,0.8264752002257293,0.4572530525370068
trend_ema_fast,0.8225401077327251,0.5516475687406558,0.4537522506224349
momentum_ppo,0.9268246734713478,0.48885653117279676,0.4530842948785631
trend_macd_diff,0.5575866923841721,0.7722806899621062,0.43061343550813713
trend_vortex_ind_pos,0.5881887174142927,0.7291161960583984,0.42885792020557734
volatility_kch,0.7421850053423323,0.5641722783333216,0.4187202054088121
volume_sma_em,0.7381537217756248,0.5554850634722143,0.41003336699278414
volatility_dcp,0.6081390323989465,0.5366204617851102,0.3263398483954728
volatility_atr,0.41367299554932585,0.6384710151032996,0.2641182173892008
volatility_dcw,0.7784970772059787,0.3383909159326292,0.2634363390066059
momentum_tsi,0.18003543068269512,1.1889476452895436,0.2140527013788792
trend_psar_up,0.27922398941665294,0.6433707732821914,0.17964455398993043
volatility_kcp,0.5814060519375116,0.30839364496903976,0.17930193156406804
momentum_stoch_rsi_k,0.23714638407134528,0.7027178302584215,0.16664699246824605
trend_ichimoku_b,0.12341810172383079,1.262035556890452,0.15575803273939726
momentum_wr,0.4383229161512759,0.2984560979111717,0.1308201471795555
momentum_stoch,0.438322916151276,0.29845609791117156,0.13082014717955548
momentum_stoch_rsi,0.15348125084151368,0.8093834639345949,0.1242251864551188
volume_vwap,0.7361853809325692,0.10690944605778703,0.07870517127134191
trend_mass_index,0.40491147031808683,0.18827487707224638,0.07623465729928033
volatility_kcl,0.7887812850192993,0.02370654046907682,0.01869927545456044
trend_psar_down,0.45249881841299333,0.021802767295728182,0.009865726439450457
trend_psar_up_indicator,0.02342285063834335,-0.6390081955877707,-0.014967393521929646
volume_mfi,0.5550528590255096,-0.08766513508506044,-0.04865878386582031
trend_sma_slow,0.5223198753497236,-0.09956427687722717,-0.052004400687798664
momentum_pvo_hist,0.07089317939638398,-0.8488824733418673,-0.06017997746907114
volatility_dch,0.2731417933900434,-0.22682657477194948,-0.061955817421731056
momentum_ao,0.8576344760225822,-0.09213282763230408,-0.07901628935091
trend_psar_down_indicator,0.118032754723671,-0.6992668834603449,-0.08253639654186073
trend_kst,0.798361077855573,-0.11349671820662721,-0.09061136228051313
volatility_kchi,0.25839939392409644,-0.3689775389515915,-0.09534357243669593
trend_ichimoku_conv,0.8819796355678373,-0.11013487190924054,-0.09713671418982242
volume_nvi,0.6236294756657537,-0.16522280115243088,-0.10303780885071755
volatility_bbh,0.10499002724383713,-1.040882729822471,-0.10928230616170079
others_dr,0.20168647007046336,-0.6502962958504396,-0.13115596440997287
others_dlr,0.20292160203041396,-0.6543376596552581,-0.13277924616607675
momentum_uo,0.4370955790181864,-0.31284128399406885,-0.1367415421681804
volume_em,0.23473114450287544,-0.5884085074963856,-0.13811780239985536
trend_trix,0.8068111453403221,-0.18375556744947769,-0.1482560398365739
volatility_bbhi,0.3644289573161337,-0.4788842548265859,-0.17451928966156635
volume_cmf,0.18713721372761885,-0.9554831653531483,-0.1788064573278339
trend_visual_ichimoku_b,0.10268452986829674,-1.9691696704200927,-0.20220326183799606
trend_vortex_ind_diff,0.6785851346003776,-0.32288220364121445,-0.21910306361794005
momentum_stoch_rsi_d,0.31317641712123495,-1.002899686946619,-0.3140845306899503
trend_aroon_up,0.7452783736116034,-0.43019371576884063,-0.32061407282613397
volatility_kcc,0.7694948504667268,-0.4655759012278635,-0.35825825849624643
trend_adx_neg,0.15138414624041766,-2.403440518954921,-0.3638427910016171
trend_ema_slow,0.5772417548306087,-0.6629766638191193,-0.38269781283469095
volatility_ui,0.4733746410870386,-0.8156309285321318,-0.38609899805338593
trend_kst_diff,0.6040418608757189,-0.7365800433142856,-0.4449251800474787
volume_adi,0.6907859685062284,-0.7016759970856365,-0.48470793322437494
momentum_stoch_signal,0.5277312056205747,-0.9430001659799141,-0.49765061449298215
volatility_bbm,0.5820580812361653,-0.8913536387877484,-0.5188195886956708
trend_ichimoku_a,0.8369765830196773,-0.6206450717515292,-0.5194653914225973
trend_visual_ichimoku_a,0.3371303062278281,-1.5438900503465889,-0.5204921254554424
momentum_pvo,0.5377516199276356,-1.0792825080769288,-0.58038591707793
volatility_bbw,0.7915300173866984,-0.7730685944781726,-0.6119069980284184
trend_ichimoku_base,0.6770511070472275,-0.9369820935877375,-0.6343847637470066
volatility_kcw,0.728413193215072,-1.009044988211106,-0.7350016819605165
trend_dpo,0.40337561719265264,-1.8718234935984437,-0.7550479570059795
volatility_bbl,0.7463074152130601,-1.0220548025197258,-0.7627670778745912
trend_kst_sig,0.5591679171912725,-1.4646459989982044,-0.8189830526823565
trend_vortex_ind_neg,0.5046622683873103,-2.1778910713598583,-1.0990994483729355
trend_aroon_down,0.7481194309734658,-1.5092506413515945,-1.1290997310042932
momentum_pvo_signal,0.7218397081406517,-1.6145490318905276,-1.1654456019586301
