,Pearson_Correlation,Zscore_Sensitivity,Combined_Score
volume_vpt,0.9734315183449668,2.409339174337466,2.345326690683328
volatility_dch,0.9506515595402316,2.338172094579241,2.2227869481852056
volatility_dcm,0.9178616129818095,2.1950949735324,2.014793413054711
trend_ichimoku_b,0.8190927759652541,2.229299670955783,1.8260032559416
trend_ichimoku_conv,0.9588962019964696,1.6504740024512896,1.5826332524444535
trend_macd,0.9554934475021962,1.4235656202649902,1.3602076222525978
trend_ichimoku_base,0.872374420553672,1.4964515437690002,1.3054660483821294
momentum_tsi,0.8841042870618495,1.472434632266895,1.3017857708054998
trend_ichimoku_a,0.9356870399067903,1.3410354874715076,1.2547895256821744
trend_aroon_ind,0.8754159752118584,1.0568402239576569,0.925174815299011
others_cr,1.0,0.8381426842486579,0.8381426842486579
momentum_kama,0.9646198800844908,0.8673699739683943,0.8366823202782805
trend_ema_fast,0.9528419579606167,0.83900999202204,0.7994439235468019
momentum_ao,0.89011725873362,0.7654132677869733,0.6813075597208829
volatility_kch,0.9393089216979428,0.711467427792154,0.6682877024226571
trend_kst,0.9427434344030026,0.6672467245095758,0.6290424686583116
momentum_rsi,0.8734327826063343,0.706941841086661,0.6174661794011673
momentum_ppo,0.9422546734265778,0.5792796130847965,0.5458289226498892
volatility_kcc,0.9392247611447869,0.5524590254291192,0.5188831962009463
volatility_dcl,0.8353166496445885,0.5826280673947338,0.48667892524507056
trend_psar_up,0.7995178189887097,0.5967985040543433,0.47715103833725314
trend_adx,0.9457093508138718,0.4984209069357801,0.4713613123302978
volatility_bbp,0.7538854813226886,0.5126671292334557,0.38649230548048474
trend_vortex_ind_pos,0.7686401334083827,0.4901546266801269,0.37675251764214873
trend_cci,0.7551094753712059,0.4824722905205104,0.3643193981760866
trend_mass_index,0.6439349918560057,0.5469309011839204,0.35218794539966564
trend_ema_slow,0.9035615251334529,0.36593349597113173,0.33064342771709204
volatility_kcl,0.9381198419260612,0.3297626198358112,0.309356856793495
momentum_stoch_rsi_k,0.5105164333238811,0.5632764393213908,0.287561878777732
volume_nvi,0.923792063088858,0.25678857377946684,0.2372192463493791
trend_sma_fast,0.9310033830493457,0.23478619600330328,0.21858674277236212
momentum_stoch_rsi,0.3860158964179732,0.5380159611791329,0.20768271354174042
momentum_stoch_rsi_d,0.5948917517723986,0.31519740802385177,0.18750833821342866
trend_kst_sig,0.9138292829271925,0.1522500232602406,0.13913052958155403
volume_sma_em,0.8398456092619296,0.1480201805921293,0.12431409875245768
volume_vwap,0.9252596770566621,0.0703523666614327,0.0650942080573291
trend_vortex_ind_diff,0.7704047240656144,0.07427371396656025,0.05722082011373623
volatility_atr,0.05296022879150654,0.6099875631826653,0.032305080906127506
momentum_uo,0.2731720298773523,0.0483630598497764,0.013211435230243295
volume_fi,0.5095497498550725,0.02448407975508388,0.012475856714634637
volume_adi,0.6343823637345307,0.004384870605770122,0.002781684579558514
trend_psar_up_indicator,0.016940239941128796,-0.5938054401128645,-0.010059206633859511
momentum_pvo_hist,0.02131903208881101,-1.2752598310099428,-0.027187305258872675
trend_visual_ichimoku_a,0.6769221040229223,-0.04308499611051087,-0.029165186218946444
trend_adx_pos,0.7903121415737389,-0.04051473999683381,-0.03201929093220094
volume_mfi,0.6729868153558517,-0.051491238413267686,-0.03465292455847392
momentum_ppo_signal,0.9330039006425979,-0.04488894858354438,-0.041881564124191924
trend_psar_down_indicator,0.08454495204508146,-0.6712236492925328,-0.056748571240961755
trend_adx_neg,0.03485605559260893,-1.6655760623929228,-0.0580554118244864
others_dr,0.15440513737559944,-0.5751436744224274,-0.08880513805990194
others_dlr,0.16050591207209172,-0.5780321500664746,-0.0927775774534117
momentum_wr,0.5387737658472842,-0.19463829298487273,-0.10486600608954692
momentum_stoch,0.5387737658472842,-0.19463829298487398,-0.10486600608954759
volume_obv,0.6236590028408329,-0.195095715312363,-0.12167319927022732
momentum_stoch_signal,0.6161718671981065,-0.21051909108068378,-0.12971594143203316
trend_macd_signal,0.940138202917055,-0.14924278146202558,-0.1403088403620515
momentum_roc,0.5443803772959562,-0.29058651648540607,-0.15818959748144296
volatility_dcw,0.3090422976987764,-0.5277867460455914,-0.16310842869289016
momentum_pvo,0.6871566504901689,-0.24139521488725518,-0.16587632730628082
volume_cmf,0.4010249783292713,-0.4184330565280732,-0.16780210742642132
volatility_kchi,0.34144802467382085,-0.5076178706577162,-0.1733251192252083
trend_trix,0.927320381956328,-0.22091772252472133,-0.20486150683254667
volume_em,0.23960010707811247,-0.8650673942893857,-0.20727024030152055
volatility_bbw,0.17756820678355148,-1.2831543886717087,-0.22784742382287956
trend_kst_diff,0.2824900322164967,-0.8650161620878511,-0.2443584434959874
momentum_ppo_hist,0.3203602544191107,-0.920219586967557,-0.29480178100237553
trend_aroon_up,0.8155932446083671,-0.4004530329508615,-0.32660678845765445
volatility_dcp,0.6509962881437877,-0.5098140390044775,-0.3318870470355071
volatility_bbm,0.8984707437924865,-0.43132782331779157,-0.38753543023473036
volatility_kcp,0.5722291866665358,-0.7016382355556535,-0.40149787686615485
volatility_bbl,0.8114163594772877,-0.5315896132503624,-0.4313405087195484
trend_macd_diff,0.36384931107934576,-1.1858502171777547,-0.43147078456341864
trend_visual_ichimoku_b,0.6047948158537744,-0.808612226401625,-0.4890444825636813
trend_sma_slow,0.8675899791396053,-0.5912835596041296,-0.5129916911425384
trend_vortex_ind_neg,0.39308501055777506,-1.7417771028914035,-0.6846664708793582
trend_dpo,0.5107525993476814,-1.4001924318623773,-0.7151519241606604
trend_aroon_down,0.8332212909486422,-1.1739871273363534,-0.9781910697962843
volatility_bbh,0.9010711895132747,-1.2553388858838797,-1.1311497031456563
volatility_kcw,0.8040367863452345,-1.4675061650458396,-1.1799289408852762
volatility_ui,0.46757618928976946,-2.6847314251288465,-1.255316489028238
momentum_pvo_signal,0.8097458659536949,-1.7369797254488646,-1.406512151927602
trend_psar_down,0.827319625797461,-2.3415557772736015,-1.937215049437879
