,Pearson_Correlation,Zscore_Sensitivity,Combined_Score
volume_vpt,0.7324862633044187,3.6329002757569966,2.661049547946835
trend_adx,0.790277848308654,2.5787428560344576,2.0379233556082244
volume_fi,0.774055281593079,1.2986213327326142,1.0052047013911232
volatility_dcl,0.67360858029219,1.34757771710362,0.9077399128515599
trend_kst_diff,0.5255532032497268,1.674620557383199,0.8801021981605831
others_cr,0.9999999999999999,0.876676698607754,0.8766766986077539
trend_adx_pos,0.7074247668767216,1.1879906839346115,0.8404140326341596
volatility_dcm,0.715954049652862,1.1727265464114065,0.8396183200386615
volume_sma_em,0.6926329292026543,1.1546182333171415,0.7997266090532454
momentum_rsi,0.8590600184526068,0.8133711343740092,0.6987346217041541
volatility_dcw,0.5836970996092644,1.1697535107500834,0.6827817314825781
volatility_kcc,0.7781621770676322,0.8475922611764677,0.6595642392227572
volatility_kcl,0.8075811552311146,0.7187407678724275,0.5804414996301134
momentum_ppo_hist,0.5676668659384158,0.932642258348947,0.529430107838673
momentum_ao,0.8181338063311588,0.6451692009839691,0.5278347341286471
trend_macd_diff,0.5778315572713543,0.8652378606069054,0.4999617404046231
trend_kst,0.7734731116350698,0.5979139605181205,0.46247037153199894
volatility_bbl,0.6754193683196216,0.672422923610698,0.4541674663087708
trend_ema_fast,0.857581877663638,0.5217081683069799,0.4474074705691571
trend_psar_up,0.2942739139497068,1.4856736002006785,0.4371949851828056
momentum_stoch_signal,0.6269841471246308,0.5359987149146458,0.33606269713065734
momentum_stoch_rsi,0.3972052138856633,0.8163839366893294,0.3242719561855049
trend_vortex_ind_diff,0.6900485339541936,0.41874924179282613,0.2889573003935698
trend_psar_down,0.35975387924139796,0.7567661781507371,0.2722495682684145
momentum_uo,0.5743251363597025,0.40887672841849443,0.23482818280326087
trend_mass_index,0.6142542523103847,0.33633432965700144,0.20659479218977586
volatility_bbp,0.7682974525831485,0.2662224795990847,0.204538052896346
momentum_ppo,0.9050034082632726,0.22336243055145114,0.20214376092703182
trend_macd,0.912458860087099,0.21305665831740325,0.1944054355822643
volume_obv,0.4325469923896234,0.44480353765850433,0.19239843241845064
volatility_dcp,0.691615000563493,0.20788077808458763,0.14377346445211145
volatility_kcp,0.5896504845418229,0.2247629629214476,0.13253158999368736
momentum_tsi,0.22706101426229927,0.5622683888548408,0.12766923066100902
trend_ichimoku_b,0.32103085258634156,0.3119178042735648,0.10013523864280212
volatility_kch,0.7355933709570238,0.12748930034854095,0.0937802842043357
trend_visual_ichimoku_b,0.08570824960785195,0.9992172490824901,0.08564116139683324
momentum_stoch,0.5749894342260916,0.14564205842980665,0.0837426447760779
momentum_wr,0.5749894342260916,0.14564205842980626,0.08374264477607768
trend_visual_ichimoku_a,0.31841409082609246,0.13783315596606116,0.04388801904262436
trend_ichimoku_a,0.8153996026927318,0.04987801425899764,0.04067051300988909
volume_cmf,0.7264452273424973,0.0474674350950068,0.03448249167895745
trend_sma_fast,0.7481841669464577,-0.005750021345109753,-0.004302074930015291
trend_sma_slow,0.6317647316136266,-0.013917724831931953,-0.008792727693117796
trend_psar_up_indicator,0.02174482772134052,-0.5144949303256671,-0.011187603623434725
trend_psar_down_indicator,0.07132559321097343,-0.5281652220360297,-0.03767169777512531
momentum_pvo_hist,0.19765998132840648,-0.21839180445366566,-0.04316731999058855
trend_vortex_ind_pos,0.7348527840282247,-0.06542299619190789,-0.048076270891091455
trend_ema_slow,0.7327921383993848,-0.07089887236825501,-0.05195413629283865
volume_em,0.11448494765392148,-0.46700766471519434,-0.05346534804889914
momentum_ppo_signal,0.7742005017104486,-0.08919701369743696,-0.06905637275562945
volume_nvi,0.4852645054082218,-0.15133834724001322,-0.07343912822272274
trend_ichimoku_conv,0.8576627398216871,-0.09449658147269671,-0.08104619696965633
volatility_kchi,0.2596245504871261,-0.3132427708001358,-0.08132551356232713
momentum_stoch_rsi_k,0.46309459705270156,-0.18411316655560875,-0.08526181267816656
momentum_roc,0.48095662410186596,-0.187032844196393,-0.08995468534086745
trend_macd_signal,0.7812579687804191,-0.12108646212185806,-0.09459976344412999
others_dr,0.20992898603505195,-0.4529307303327892,-0.09508328896287797
others_dlr,0.21486577973011373,-0.4497980034895713,-0.09664619874083515
volume_adi,0.4904823565861357,-0.26135554982739806,-0.1281902859862074
momentum_kama,0.8888983447811789,-0.18033867664606423,-0.16030275117071474
volatility_bbh,0.1724812848054585,-1.5519978646085912,-0.26769058570301785
trend_trix,0.7429026412171721,-0.37148877794010676,-0.27597999431424486
volume_mfi,0.44859502732254625,-0.6338858288620782,-0.28435803071775884
trend_ichimoku_base,0.6596609857296301,-0.5433463940928167,-0.35842441791990753
volatility_bbw,0.6657611690538735,-0.5713636521392467,-0.3803917330031156
momentum_pvo,0.773342302288121,-0.5049812457995376,-0.39052335923893794
trend_aroon_down,0.34835049525461453,-1.1765463587116507,-0.4098505067472169
volatility_atr,0.2557921791229244,-1.649501810409262,-0.42192966255179404
trend_aroon_up,0.7115828291667322,-0.6035256948644793,-0.4294585214264841
volatility_dch,0.7106510214095771,-0.6328966722505199,-0.44976866658155434
volume_vwap,0.8109115311061006,-0.5658233730962392,-0.4588326978130897
volatility_kcli,0.6256630441125023,-0.7587985603898727,-0.4747522171617122
trend_kst_sig,0.5727512523708005,-0.8999044476431787,-0.5154213994016841
momentum_stoch_rsi_d,0.5135271136439566,-1.059931953189641,-0.5443037965804777
trend_adx_neg,0.3439359283579629,-1.619638055201305,-0.5570517181195463
trend_cci,0.7594394360937622,-0.7636245923504829,-0.5799266298019797
volatility_bbm,0.6582046082902016,-1.063223259741593,-0.6998184492032464
trend_vortex_ind_neg,0.5147056147183015,-1.4974443952808334,-0.7707430379794965
volatility_ui,0.283345131939673,-2.8053197694903003,-0.7948737002192021
trend_dpo,0.51732644096277,-1.5425919843051665,-0.798023621098289
trend_stc,0.5459741481464079,-1.7466384366028485,-0.9536194325440138
momentum_pvo_signal,0.8057900028607564,-1.187979464902796,-0.9572619764225438
volatility_kcw,0.8668858178502553,-1.505140272654939,-1.3047847562398331
trend_aroon_ind,0.7209879351698553,-1.9506817423505,-1.4064180015908228
