,Pearson_Correlation,Zscore_Sensitivity,Combined_Score
volume_vpt,0.9720081874612173,3.0598373809954373,2.974186986627453
trend_psar_up,0.9163132419449395,2.178464212216626,1.996155604757245
trend_adx,0.8809281085552348,2.25074473998379,1.9827443066345638
momentum_kama,0.951070123253418,1.9816025697213187,1.8846430002241443
volatility_bbm,0.8186942126230186,1.61318338577351,1.320703901832379
trend_mass_index,0.7842549469036703,1.6550673000107787,1.2979947174919542
volatility_dcm,0.8124502726181861,1.2012980075024604,0.9759948936910577
volatility_dcl,0.6763053699674995,1.4154289255788728,0.9572621831763198
trend_ichimoku_a,0.8831730689678663,1.0538314039994892,0.9307155152449442
others_cr,1.0,0.844875639862317,0.844875639862317
volume_obv,0.9566013889115174,0.8787600748043701,0.8406231080778493
trend_ichimoku_conv,0.9251192693462662,0.7766033326681806,0.7184507076898625
momentum_rsi,0.7899059784882407,0.8956649900153808,0.7074911303357597
trend_ichimoku_base,0.7671271061380663,0.8289652849182437,0.63592174010825
trend_sma_slow,0.7919547635207359,0.7332831028347527,0.5807270462992481
trend_ichimoku_b,0.7085666721261558,0.6846930106229011,0.48515064796510765
trend_trix,0.8267853415991028,0.5701072735013115,0.47135633686991496
trend_psar_down,0.5130680181789139,0.8474881615811655,0.43481907149253973
momentum_stoch_signal,0.5890205014020514,0.7314287067279432,0.4308265035767472
momentum_stoch_rsi_k,0.3832059779370738,1.056363269052048,0.4048047195738942
momentum_ppo,0.9051991411385576,0.3927622701362022,0.35552806959892036
trend_sma_fast,0.8721886559874834,0.34709452823444736,0.30273191008141226
volume_fi,0.471003244317428,0.6294694674180584,0.2964821613526691
volume_adi,0.9220068008958614,0.3113921374376193,0.28710566846298374
trend_aroon_ind,0.8090246872574202,0.34090580456088976,0.27580121191911305
volatility_dch,0.9106864605413018,0.28509316965230563,0.2596304895951591
volatility_kcc,0.8867825311248587,0.2744607600235967,0.2433870074681775
momentum_ao,0.7882717598008097,0.3055454667380469,0.24085286276475998
volatility_kcp,0.5714586806056615,0.4135937757533806,0.2363517533987407
trend_cci,0.7704668923736196,0.2660501406245841,0.2049828250625878
momentum_stoch_rsi,0.27527627875261873,0.6513470107086439,0.17930038128451758
volatility_bbp,0.7586056193173034,0.213330007135384,0.16183334218190273
momentum_stoch,0.5354886693719414,0.2332856691522182,0.12492183255786428
momentum_wr,0.5354886693719413,0.2332856691522182,0.12492183255786427
volatility_kcl,0.8795723402923102,0.13062235047115572,0.1148918064983968
trend_ema_fast,0.9214304814411869,0.1216567971464648,0.11209828116525987
volatility_dcp,0.6700968455573972,0.11081870116745168,0.07425926208107722
momentum_uo,0.5235446358394019,0.13559233120906847,0.07098863766546733
volume_mfi,0.7725170250323329,0.05574074110459232,0.04306067149121713
trend_kst_diff,0.3023663015207926,0.1377452734049529,0.041649528871426
volatility_bbl,0.651916852290536,0.03834416729565708,0.024997208847086477
volatility_bbw,0.15762915225531424,0.01937736499397471,0.0030544376169420358
momentum_pvo,0.046964793344232245,-0.25720843000932314,-0.012079740761782285
trend_macd_diff,0.4244477038037511,-0.03444314672292224,-0.014619314538320037
momentum_ppo_hist,0.40798243135837553,-0.047948258537319474,-0.019562047097455584
momentum_pvo_signal,0.07836542564659957,-0.311403762194625,-0.02440328837233426
momentum_roc,0.481857646439981,-0.07322955495851634,-0.035286221002157926
volatility_atr,0.09257953086665835,-0.9165548770960203,-0.08485422053509727
volatility_kch,0.8924567050112516,-0.10958324017388296,-0.0977982974500402
trend_ema_slow,0.8483160797402349,-0.12077610676822662,-0.10245631341991006
volume_cmf,0.32671391225716967,-0.4232775413241414,-0.13829066149660604
volatility_kchi,0.30845774673220894,-0.5456703265688627,-0.16831623939206
momentum_pvo_hist,0.14799350456787508,-1.1900730744693924,-0.17612308498259116
volume_nvi,0.8288053087508217,-0.21319944099582247,-0.17670082852004523
others_dr,0.18083435260249697,-1.0092126211802024,-0.18250031098939093
others_dlr,0.1856859567727019,-1.003810942816937,-0.1863935953358709
trend_dpo,0.5769900742807595,-0.35260286320715356,-0.20344835223350402
trend_visual_ichimoku_a,0.49227414792069774,-0.4364823968603459,-0.2148689999968106
trend_vortex_ind_diff,0.6778065864406947,-0.33716617610100214,-0.2285334548862824
trend_vortex_ind_pos,0.729337593501873,-0.3203212156994985,-0.2336223046058666
trend_stc,0.5339036992605406,-0.4403164846082204,-0.23508659997772577
volume_sma_em,0.799179594105695,-0.32379096486674364,-0.2587671318772955
trend_visual_ichimoku_b,0.3406482650920629,-0.7827574386898045,-0.2666449634775887
trend_macd_signal,0.8537440186880643,-0.33323518128443735,-0.28449754283802114
volume_vwap,0.8570826354856477,-0.35414749205464924,-0.30353366584083125
volume_em,0.2488176903871655,-1.2649943586973544,-0.3147529746838693
volatility_dcw,0.23711058243384642,-1.6602400511962196,-0.39366048551913463
trend_aroon_up,0.804055735960867,-0.5487472674101066,-0.44122338795394794
