,Price,Returns,Lagged_Returns
volume_adi,-0.8945722190145934,-0.0034507011989161752,-0.018931309640437856
volume_obv,0.9127727687151956,0.02053072433796537,0.004477094319998005
volume_vpt,0.8945905283725011,0.024664310769079555,0.002315185389069991
volume_vwap,0.9981820429842253,-0.0013686671861362371,-0.003631044781510759
volume_nvi,0.8946763323325461,0.02548792254125322,0.0009090281282696546
volatility_bbm,0.9970817432788541,-0.002651247433266654,-0.0036949338118907158
volatility_bbh,0.9959668217461976,-0.0018141717725942844,-0.0030066565337174317
volatility_bbl,0.9957961670667173,-0.0035758206326879415,-0.004451357607896954
volatility_kcc,0.9985352967417813,-0.002082393644012837,-0.003730727265234545
volatility_kch,0.9984231917616747,-0.0022709861514605923,-0.003855451082851949
volatility_kcl,0.9985296040984971,-0.0018856292916697652,-0.0036003082808178984
volatility_dcl,0.9962122480535587,-0.0007799755695974518,-0.004165020143182289
volatility_dch,0.9964408648616715,0.0006832646537175568,-0.003342381694493753
volatility_dcm,0.9972477025901796,-7.891240209773623e-06,-0.003734358561619015
volatility_atr,0.9005864671042959,-0.008492517060170365,-0.006699356923095775
trend_sma_fast,0.9983179680605447,-0.0019534779816883312,-0.003761564566538521
trend_sma_slow,0.9960547223613287,-0.003440434835555703,-0.004240992148825145
trend_ema_fast,0.9987851497609822,-0.00017154478120530643,-0.0039300873159299225
trend_ema_slow,0.9970226256850883,-0.0022519989834393853,-0.0039206099327996876
trend_ichimoku_conv,0.9988113927352597,0.0014481469829234032,-0.003735815145646476
trend_ichimoku_base,0.9962193978496958,-0.0015708011918591893,-0.004843207997487963
trend_ichimoku_a,0.9979893673312816,-5.313579444174228e-05,-0.0042885042945846495
trend_ichimoku_b,0.9917523613767514,-0.0017867262490059049,-0.004067035724797758
trend_visual_ichimoku_a,0.9797033929193273,-0.0034677647410076284,-0.003678113859087012
trend_visual_ichimoku_b,0.9736551347455643,-0.0033106189955387838,-0.0035513981091753427
trend_psar_up,0.9955409825495048,-0.006066374482193774,-0.0034337909480866556
trend_psar_down,0.9944764532977248,-0.008948760966426782,-0.00451419390276758
momentum_kama,0.9984313294759408,-0.0014369944308208714,-0.004991718731909998
others_cr,0.9999999999999997,0.021985856324350378,-0.004477768330698206
