,Price,Returns,Lagged_Returns
volume_obv,0.925139114473736,0.010950386082427698,-0.007271165619319499
volume_vwap,0.9978947863096412,-0.018829193790663442,-0.021680861658111988
volatility_bbm,0.9963986283794631,-0.021109185465838867,-0.02190487351035441
volatility_bbh,0.9945370543106199,-0.020964443348315157,-0.021554450194772583
volatility_bbl,0.9953631846245333,-0.021204121291289974,-0.022225585393299996
volatility_kcc,0.9982535914637224,-0.020097566126664787,-0.021668460498075803
volatility_kch,0.9981572546072016,-0.01993071227014109,-0.021487765649132875
volatility_kcl,0.9982379316889345,-0.020268122503262265,-0.021853174574776167
volatility_dcl,0.996044061160802,-0.01695526451529362,-0.021895905959917597
volatility_dch,0.9955067904871443,-0.018081751878252283,-0.021949043538950646
volatility_dcm,0.9967948073441749,-0.017566288333279837,-0.021946630922292248
volatility_atr,0.87329920912192,-0.0190040770049098,-0.012499987651370191
trend_sma_fast,0.9979634542154814,-0.019993095974444094,-0.021608655427607048
trend_sma_slow,0.9950777519786671,-0.022126986824702974,-0.022609333430348013
trend_ema_fast,0.9985152492454122,-0.01819384227086488,-0.022022786258275636
trend_ema_slow,0.9963645469567641,-0.020619623994346182,-0.02208319507509443
trend_ichimoku_conv,0.9986306590684979,-0.015742928455674033,-0.0213552827981846
trend_ichimoku_base,0.9956599643499651,-0.018882347962004657,-0.02220208566425023
trend_ichimoku_a,0.9976601283734823,-0.017320133639666137,-0.02178952442826724
trend_ichimoku_b,0.9913162160209276,-0.018856771903473867,-0.021631596913849922
trend_visual_ichimoku_a,0.9745447157724708,-0.020088586166950282,-0.020229637398198087
trend_visual_ichimoku_b,0.9692176286107123,-0.019552751121761476,-0.01975479516719149
trend_psar_up,0.9937989597021287,-0.02626007008046679,-0.021163317525124098
trend_psar_down,0.9930527983168894,-0.025910737592664847,-0.021426658480032303
momentum_kama,0.9982693297512862,-0.01826237754798844,-0.021905144078799725
others_cr,0.9999999999999987,0.0069659723981182345,-0.022355585037790827
