,Price,Returns,Lagged_Returns
volume_adi,0.9348842756846595,0.015540824580287353,-0.014221127971998128
volume_obv,0.925850391670053,0.017022327087899237,0.006312127991284994
volume_vpt,0.9548369340471211,0.015270526283259625,0.0014032590131844913
volume_vwap,0.9970327586156557,-0.007170641388349819,-0.010364613483453291
volume_nvi,-0.7576356261204023,-0.011997706553420315,-0.02507322799386132
volatility_bbm,0.9951438496613082,-0.009422639407872644,-0.01112159755383114
volatility_bbh,0.9927616566664584,-0.010200767941736672,-0.011852194694320044
volatility_bbl,0.9932033498227733,-0.008508647321360903,-0.01025287886757119
volatility_kcc,0.9976507646339352,-0.007499151890585861,-0.009847934361569584
volatility_kch,0.9974844545622821,-0.007857433104417989,-0.01008873442347656
volatility_kcl,0.9976314398641027,-0.007122277785752008,-0.00959370096245489
volatility_dcl,0.9938932049271697,-0.005538949338088909,-0.010247040065871318
volatility_dch,0.9938172039978681,-0.00709802954046226,-0.01147319354360612
volatility_dcm,0.9953905525761477,-0.006374429023768247,-0.01091325275064037
volatility_atr,0.8814959930077885,-0.01232775914556599,-0.010521109984184603
trend_sma_fast,0.9972932636501398,-0.007372695506067329,-0.010081741803825966
trend_sma_slow,0.9933360919332919,-0.010707438706813722,-0.012011186582267026
trend_ema_fast,0.9980190673831532,-0.005281286659564775,-0.010436569704497392
trend_ema_slow,0.9950626744755106,-0.008916670848632523,-0.011343538746377264
trend_ichimoku_conv,0.9981314908700282,-0.0032769534899266847,-0.009351056643063047
trend_ichimoku_base,0.9936073113914451,-0.007646301401217291,-0.011609545415815851
trend_ichimoku_a,0.9966420901318755,-0.005456123550503788,-0.010483332919959855
trend_ichimoku_b,0.9872176702448473,-0.009234786259449448,-0.012244739997788266
trend_visual_ichimoku_a,0.968013458224144,-0.015400762630367906,-0.01481899509059748
trend_visual_ichimoku_b,0.9567891762517874,-0.017723989871306856,-0.017315636799794015
trend_psar_up,0.9915040968226997,-0.016340651456449064,-0.012347058227992208
trend_psar_down,0.9920898383466444,-0.012627769252674725,-0.008973469314044509
momentum_kama,0.9977016328030082,-0.005082315914255122,-0.009896184893243709
others_cr,0.9999999999999977,0.02436010598413716,-0.01066156228407652
