,Price,Returns,Lagged_Returns
volume_adi,0.7701484767766408,-0.09895065543147907,-0.21575183339635834
volume_obv,0.857372532734996,-0.0413374587530951,-0.13203919734133568
volume_vpt,0.983075488445684,-0.11650719757489988,-0.2046043758036567
volume_vwap,0.8337239723777222,-0.2665871727368059,-0.17906695149638518
volume_nvi,0.8116436981161901,-0.011093158616238073,-0.127500327697779
volatility_bbm,0.82378058637219,-0.21482916220357035,-0.09779345321011858
volatility_bbh,0.8877999924095754,-0.3199245364712499,-0.24537395800097633
volatility_kcc,0.8585349953714477,-0.2804894398579587,-0.17274986828606617
volatility_kch,0.8665267271463156,-0.2876396609465898,-0.19038649022081838
volatility_kcl,0.845214496140908,-0.2723342628053187,-0.1569728203176848
volatility_dch,0.9432204238779167,-0.21039020019309146,-0.19488570535922614
volatility_dcm,0.845621035282793,-0.15748310135219346,-0.10326547045594049
trend_sma_fast,0.854542737470222,-0.27030827165567384,-0.1689508326453189
trend_sma_slow,0.8668033818144851,-0.19495192402510877,-0.08295118063244679
trend_ema_fast,0.9060553523870958,-0.2538855813777354,-0.1707492966784275
trend_ema_slow,0.8735106228099975,-0.21494947457459737,-0.122294363481843
trend_vortex_ind_pos,0.7850506020890009,-0.11667657320171475,-0.24781256322477246
trend_mass_index,0.8446121924683019,-0.2234115886461774,-0.1087867828382923
trend_kst,0.8031829250299211,-0.28408786944946474,-0.1793217067043889
trend_kst_sig,0.746104967396259,-0.21894193027818343,-0.10185570231799741
trend_ichimoku_conv,0.9020932567660574,-0.19772430378603595,-0.13294512448628373
trend_ichimoku_base,0.8615495487005785,-0.10750757972086686,-0.06489702034521175
trend_ichimoku_a,0.914853346619327,-0.16022807334618655,-0.10471400487286894
trend_ichimoku_b,0.9432204238779166,-0.21039020019309138,-0.19488570535922606
trend_stc,0.706393650709968,-0.07198299949831598,-0.12314364415415005
trend_adx_pos,0.8227294570203981,-0.19614520236547667,-0.15614446057319192
trend_aroon_up,0.9143877824508831,-0.12602806340008962,-0.17580708283230456
trend_psar_up,0.8259639355577169,-0.3079932574528078,-0.18051580301494924
momentum_stoch_rsi,0.7960897156378237,0.2986896494092215,0.0734462433502702
momentum_stoch_rsi_k,0.8398862979870254,0.06018095784020808,0.017979241238919322
momentum_stoch_rsi_d,0.8301160012605304,-0.045516240431803634,-0.10925789895220327
momentum_kama,0.91945882951598,-0.2481566325691681,-0.18958444852611386
others_cr,1.0,-0.03206332363957346,-0.20274944420718766
