,Zscore_Sensitivity
trend_ichimoku_b,2.351933069955657
volatility_dcl,2.208093217812483
trend_aroon_ind,1.9736927483859137
volume_vpt,1.773201614811852
trend_adx,1.713920753305325
momentum_kama,1.6046681710871902
volatility_dcm,1.3109648630417277
momentum_ppo_signal,1.1768336415613907
trend_macd_signal,1.15314717169771
trend_macd,1.132748657507643
trend_sma_fast,1.1140903951370653
momentum_rsi,1.0811277708198581
trend_adx_pos,1.078284701336184
volatility_bbp,1.026817616264901
momentum_roc,0.8552102831587239
volume_obv,0.8248628086532016
momentum_ppo_hist,0.8134042855978506
trend_vortex_ind_pos,0.798829677188088
others_cr,0.7976861742128186
momentum_stoch_rsi,0.7690430165412988
