,Zscore_Sensitivity
volume_vpt,4.170603602408847
volume_fi,2.0025069166562326
volume_sma_em,1.710320455875775
trend_adx_pos,1.4887662270352673
volatility_dcw,1.4414706263866355
volatility_bbl,1.219709576897062
volatility_kcc,1.1621637684919837
others_cr,1.0984260831823724
momentum_rsi,1.0824464326744827
momentum_stoch_rsi,1.0602575085390822
trend_adx,1.0520557072125436
momentum_stoch_signal,1.041752699028244
volatility_dcm,1.0049804390549588
volatility_dcl,0.9867166244697777
momentum_ppo_hist,0.9850324827106047
trend_macd_diff,0.9266488462774828
trend_kst_diff,0.8687894420546604
volatility_kcl,0.8100653388335943
trend_visual_ichimoku_b,0.7605604564408899
trend_ema_fast,0.7499129582094552
