,Zscore_Sensitivity
momentum_tsi,2.808276491210344
volume_vpt,2.1396644147701744
trend_kst,1.7104461097207073
momentum_rsi,1.657857286101225
trend_aroon_ind,1.5272222069706651
momentum_ao,1.5183557322548815
trend_ema_fast,1.515118133990323
momentum_kama,1.4632219038397696
volume_nvi,1.440178701719893
volume_sma_em,1.1676585065034744
momentum_stoch_rsi_k,1.149307515626776
trend_adx_pos,1.06683521430518
trend_ichimoku_a,1.0590213085450442
trend_vortex_ind_diff,0.9915656108662227
trend_cci,0.9411449114995151
trend_kst_diff,0.92093641270375
trend_sma_slow,0.8851394462418134
others_cr,0.8398946291031033
volatility_dcp,0.7827663379621318
momentum_stoch_rsi,0.7449797400356571
