,Zscore_Sensitivity
trend_adx,3.2170715034060176
volume_vpt,2.919024490165079
momentum_kama,2.717290553763744
trend_mass_index,1.9950612877340812
volatility_bbm,1.6223356284949892
trend_ema_fast,1.327584682989385
trend_psar_up,1.2992402521883708
momentum_stoch_rsi_k,1.1230489765914107
momentum_tsi,0.9256293531347741
momentum_stoch_rsi,0.9157524805360087
volatility_dcl,0.8520095679598948
volume_obv,0.8490069992716283
volatility_dcm,0.8217771251531791
others_cr,0.8160184973897675
trend_psar_down,0.8028568819506504
trend_macd,0.784381592418351
trend_sma_slow,0.7325849752198915
momentum_stoch_signal,0.7194839339928379
trend_ichimoku_a,0.6668304089291087
trend_ema_slow,0.5063738476626797
