,Zscore_Sensitivity
volume_vpt,4.357451048883847
trend_stc,2.403541094286992
volume_obv,2.315896882322144
momentum_kama,2.1797048022223042
trend_ema_fast,2.119218245117277
trend_ema_slow,2.0178178665792625
others_cr,1.8890067344054604
volatility_dcl,1.4813853176802854
volume_adi,1.476129505368071
trend_ichimoku_a,1.1840863490820015
trend_sma_fast,1.1795004162434688
trend_ichimoku_conv,1.0915643711976166
volatility_kch,1.0834036982247786
volatility_kcc,1.0722459143838687
volatility_kcl,0.9085706915111875
volume_vwap,0.8817958890093698
volatility_bbm,0.8436780274392895
trend_sma_slow,0.7876646751002079
trend_ichimoku_b,0.6798244266280883
volatility_dcm,0.64891139608675
