,Zscore_Sensitivity
volume_vpt,6.763873575821774
volume_obv,2.2646667048603173
trend_stc,1.941842020038427
volume_nvi,1.8259437905598566
momentum_kama,1.2998411946340147
trend_ema_slow,1.1999644423886042
others_cr,1.1830083354263996
trend_ema_fast,1.165222957415861
volatility_bbm,0.8730857118061696
volatility_dcl,0.8526301508603042
volatility_kch,0.8023741050050481
trend_sma_slow,0.6886024252425179
volatility_kcc,0.6858055274754895
trend_ichimoku_base,0.6450929057435404
trend_ichimoku_conv,0.6190197905994218
trend_sma_fast,0.5893636123290652
volatility_kcl,0.5338587048875812
volatility_dcm,0.5277294453390616
trend_ichimoku_a,0.4647965643232023
volatility_dch,0.45635103030122054
