,Zscore_Sensitivity
volume_vpt,3.6880944024681064
trend_stc,2.6765129072281693
trend_ema_fast,2.4812695589179725
trend_ema_slow,2.2466707954030216
momentum_kama,2.2347383534122756
volume_obv,2.1879543375837933
others_cr,2.1380824502144224
volatility_bbm,1.4764237146943298
volume_adi,1.3072011909455712
trend_ichimoku_a,1.2714523160442477
trend_sma_fast,1.1091771579545582
volatility_kcc,1.1065573951349017
volatility_kcl,1.0847075571644165
trend_ichimoku_conv,1.0790137944837273
volatility_kch,1.0203818162835865
volatility_dcl,1.0030124718524747
volume_vwap,0.830854803805247
trend_ichimoku_b,0.5743517877865029
volume_nvi,0.5038063993192626
trend_trix,0.4657858704114294
