,Zscore_Sensitivity
volume_vpt,5.912353878983404
volume_obv,3.5625080249791887
trend_stc,1.6470801444444374
momentum_kama,1.543788316522188
others_cr,1.3615113773305596
trend_ema_slow,1.34143554540287
trend_ema_fast,1.3242480380423591
volatility_bbm,1.0617648943451756
volatility_kcc,0.8758443894267322
trend_sma_fast,0.8536135955991009
volatility_dcl,0.8330501600320059
volatility_kcl,0.8150834424880548
trend_ichimoku_b,0.7735836014090562
trend_ichimoku_base,0.7580209434790866
trend_sma_slow,0.755052470513587
trend_ichimoku_conv,0.7542245283204265
volatility_kch,0.7033669326242153
volatility_dch,0.6433431024063566
volume_vwap,0.6388104990190032
volume_nvi,0.6094502561696703
