,Zscore_Sensitivity
volume_vpt,7.778280418401336
volume_obv,2.985951222412184
trend_stc,1.2657288585104574
momentum_kama,0.9744913170760553
trend_ema_fast,0.854678171176173
others_cr,0.8534929407395155
trend_ema_slow,0.7300143060747349
trend_ichimoku_b,0.7115583091163767
volatility_kcl,0.5487125307797116
volatility_kcc,0.5313705508483378
volatility_kch,0.5118455109137736
trend_ichimoku_a,0.4832624041306503
trend_sma_fast,0.46265737963143805
volatility_bbm,0.3638350127548851
trend_ichimoku_conv,0.3621794098672407
volume_vwap,0.3385322148827646
volatility_dch,0.3356998648953181
volatility_dcl,0.272304844636902
trend_ichimoku_base,0.27193362289776885
volume_adi,0.24313655882794422
