,Price,Returns,Lagged_Returns
SMA_20,0.9966091827181999,-0.051288954265787286,-0.05163833559807404
EMA_20,0.9975592044242364,-0.051086150565745704,-0.05191616210713007
RSI_14,0.02212862335904097,0.1255710809460648,-0.05455826798084763
MACD,0.08529260267827564,-0.011150598371122871,-0.03353034967791026
MACD_Signal,0.08861497121679508,-0.027297448831632216,-0.03114088882174488
Stoch_K,0.03366628825341816,0.17588525655263357,-0.021732738889735995
Stoch_D,0.03646587656427158,0.03809588484180682,-0.04145693441140627
BB_Upper,0.9957297144990634,-0.05062976131944002,-0.050932621374391
BB_Middle,0.9966091827181999,-0.051288954265787286,-0.05163833559807404
BB_Lower,0.9951556973936588,-0.051882582915651856,-0.052281863857343853
ATR_14,0.8523590878359656,-0.03931010446752987,-0.04074135015096683
OBV,0.9541058068093402,-0.040983649391868736,-0.050909662367962676
CCI_20,0.01199991731733363,0.11744060872577858,-0.03219231701708281
WilliamsR_14,0.033666288253418185,0.17588525655263357,-0.021732738889735988
ROC_12,0.013587181998839478,0.09049188568078115,-0.03837054905349343
AD_Line,-0.8764113653796088,0.044392678351486435,0.030586716758326787
CMF_20,-0.057986014866703156,0.055238039457298396,-0.019253506834699976
PSAR,0.9932857436820739,-0.05504302903732517,-0.05179036489580584
VWAP,0.9978213919415777,-0.051633237012266325,-0.05235520291362494
KC_Upper,0.9963935414040315,-0.05127925046417161,-0.05151854935999693
KC_Lower,0.9964813686789392,-0.05144782917950856,-0.05164929116051745
